ride_id,trip_time,trip_dist,plan_id,hr_start,dow,time_slot,batt_perc,dist_h,price,start_location_id,lat,lng,end_location_id,lat,lng
212608,19.02215175,2,Go,19,1,3,0.929142857,0.062641615,2,29,37.790226,-122.406267,105,37.775422,-122.423379
212615,17.34352863,2.1,Other,19,1,3,1,0.049811676,5,21,37.775606,-122.416976,104,37.7947,-122.41096
212617,13.36999618,1.8,Go,19,1,3,0.326857143,0.02012048,2,98,37.803079,-122.425449,118,37.787984,-122.429116
212618,12.3327727,1.3,Go,19,1,3,0.997714286,0.135047139,2,12,37.777962,-122.423059,10,37.764729,-122.42069
212624,18.44460502,3.2,Go,19,1,3,0.623428571,0.250943778,2,87,37.795342,-122.398735,35,37.775745,-122.44145
212627,22.32878378,3.8,Pro,19,1,3,1,0.134592821,2,10,37.764729,-122.42069,90,37.7841745,-122.48046
212633,19.77150155,3.8,Pro,19,1,3,0.709568733,0.377727464,2,131,37.762508,-122.398963,42,37.74981,-122.43179
212636,41.79612433,4.7,Other,19,1,3,0.825142857,0.437123343,2,26,37.791638,-122.391761,35,37.775745,-122.44145
212638,22.93938918,2.9,Intro_Pro,19,1,3,0.889487871,0.187613621,2,11,37.772561,-122.450967,14,37.799715,-122.435161
212640,6.9911568,1,Pro,19,1,3,1,0.088353296,2,106,37.766846,-122.416578,51,37.757731,-122.424756
212654,18.17883032,2.7,Pro,19,1,3,0.726857143,0.112622721,2,59,37.79098,-122.397693,104,37.7947,-122.41096
212658,10.9053648,2.3,Pro,19,1,3,0.887428571,0.39521965,2,1,37.783622,-122.404401,66,37.784773,-122.436346
212664,25.67887288,1.1,Intro_Pro,20,1,0,0.370285714,0.35133781,2,21,37.775606,-122.416976,43,37.77747,-122.433245
212665,10.17071162,1.5,Other,20,1,0,0.164571429,0.125819274,0,80,37.770631,-122.450446,53,37.761873,-122.469146
212666,39.08351405,4.7,Pro,20,1,0,0.599730458,0.009868509,4,62,37.742119,-122.422501,62,37.742119,-122.422501
212668,10.87680907,2.3,Go,20,1,0,0.383428571,0.16077773,2,91,37.776215,-122.398149,94,37.765613,-122.428873
212669,156.6570801,5,Go,20,1,0,0.972,0.176313012,10,20,37.783412,-122.465859,55,37.77744,-122.46494
212675,8.947206167,1.8,Go,20,1,0,0.309973046,0.306407452,3,63,37.7797245,-122.3958602,85,37.780241,-122.418011
212676,19.53211925,4,Pro,20,1,0,0.972,0.117340359,2,13,37.798434,-122.409468,34,37.76727,-122.446378
212679,26.7562768,3.7,Intro_Pro,20,1,0,0.634857143,0.003335158,2,100,37.805479,-122.431806,35,37.775745,-122.44145
212691,7.832697833,0.8,Go,20,1,0,0.446285714,0.261257539,2,96,37.793017,-122.416574,29,37.790226,-122.406267
212693,12.19547368,2.5,Intro_Pro,20,1,0,0.918857143,0.051905964,2,43,37.77747,-122.433245,55,37.77744,-122.46494
212695,15.90377912,2.4,Pro,20,1,0,1,0.125350824,2,96,37.793017,-122.416574,43,37.77747,-122.433245
212706,17.3299079,3.5,Other,20,1,0,0.918285714,0.03610304,0,19,37.762924,-122.435514,13,37.798434,-122.409468
212708,108.4380088,4.1,Pro,20,1,0,1,0.042399528,8,91,37.776215,-122.398149,55,37.77744,-122.46494
