,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,normalized_price
2990,9978256,"Spin Vintage Vinyl at a Bright, Mid-Century Home",3149993,Charli,,78723,30.311093727636646,-97.69392372067585,Entire home/apt,290,2,6,2018-09-02,0.2,1,149,0.43738656987295826
2991,9986532,"Lake Austin, Eanes, 30 days or more",51312049,Kathy,,78733,30.352677688477392,-97.86047944911962,Entire home/apt,116,30,0,,,1,335,0.12159709618874773
2992,9997614,One bedroom duplex in Hyde Park,11366463,Paige,,78705,30.291342733310252,-97.7436776721818,Entire home/apt,84,1,0,,,1,0,0.06352087114337568
2993,10015237,Casita de Corazon: Everything at your doorstep!,49173080,Eddie,,78703,30.27436105669549,-97.75678928307178,Entire home/apt,145,2,7,2018-06-17,0.65,1,10,0.17422867513611615
2994,10042129,Clarksville gem,746455,Michael,,78703,30.283629391556964,-97.76322172091042,Private room,79,1,4,2016-01-17,0.12,4,365,0.0544464609800363
2995,10052537,Cozy room in 3bdr Clarksville Farm,746455,Michael,,78703,30.28274025940677,-97.76358137451942,Private room,79,1,12,2018-05-28,0.36,4,358,0.0544464609800363
2996,10067422,Cozy Room in East Central Austin,46646927,Rachael,,78723,30.31350858784573,-97.69750879468342,Private room,60,1,53,2018-08-25,1.75,1,74,0.019963702359346643
2997,10069202,"PRIME walking distance from ACL, shopping, bars!",2934425,Brett,,78703,30.273469359356753,-97.75512902272257,Entire home/apt,115,1,203,2018-09-03,7.04,7,148,0.11978221415607986
2998,10088111,NEW Downtown Hi Rise Apt W/ Views!,46236863,C,,78703,30.267192975013,-97.75577323510339,Entire home/apt,199,7,7,2017-03-17,0.21,1,0,0.27223230490018147
2999,10116724,Texas Hill Country Cabin(s) with Pool Access **,33563603,Chris,,78737,30.20897110266347,-97.95142391693017,Entire home/apt,135,2,28,2018-08-05,0.85,8,349,0.1560798548094374
3000,10118516,Cozy South Austin Home,51925751,Joseph,,78704,30.227690004588002,-97.76673300605759,Entire home/apt,75,2,0,,,1,0,0.047186932849364795
3001,10135879,"A cozy, 450 sq. ft. studio.",36381858,Kelsey,,78705,30.2913612463591,-97.74464904267859,Entire home/apt,100,1,26,2018-04-01,0.79,1,57,0.0925589836660617
